Sample.ID,Method,Region,Date.yymmdd,Port,Location,Vessel,Angler.no,Drift.no,Time.min,Lat,Long,Depth.ft,TL.cm,Color,Sex,FultonsK,HSI
200,Hook and Line,Central California,20150804,HMB,Ano Nuevo SMR,Hulicat,12,NA,NA,37.11602,-122.36287,105,57,BR,M,0.969691079,1.9155808
HL0001,Hook and Line,Central California,20150910,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.2463,-120.90769,100,61,BR,F,0.885536675,0.781094527
HL0002,Hook and Line,Central California,20150910,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.24669,-120.90675,89,56,BR,M,0.825665087,1.165517241
HL0003,Hook and Line,Central California,20150910,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.23563,-120.90563,79,74,BL,F,0.932817405,1.264550265
HL0004,Hook and Line,Central California,20150910,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.24845,-120.90942,110,62,BR,M,0.902118089,2.102325581
HL0005,Hook and Line,Central California,20150910,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.2463,-120.90769,100,83,BR,F,1.003870322,1.303135889
HL0006,Hook and Line,Central California,20150911,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.25458,-120.91235,105,71,BR,F,0.997454674,1.666666667
HL0007,Hook and Line,Central California,20150911,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.25458,-120.91235,105,59,BR,M,0.968940349,2.407035176
HL0008,Hook and Line,Central California,20150911,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.2272,-120.9092,84,61,BR,M,1.282045634,2.158075601
HL0009,Hook and Line,Central California,20150911,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.25247,-120.91196,68,75,BL,F,1.09037037,1.589130435
HL0010,Hook and Line,Central California,20150911,MOR,Pt. Buchon SMR,Patriot,12,NA,NA,35.25458,-120.91235,105,81,BL,F,0.890032948,1.255813953
HL0011,Hook and Line,Central California,20150804,HMB,Ano Nuevo SMR,Hulicat,12,NA,NA,37.11385,-122.35963,105,71,BL,F,0.888489038,1.682389937
HL0012,Hook and Line,Central California,20150804,HMB,Ano Nuevo SMR,Hulicat,12,NA,NA,37.11411,-122.35995,105,77,BL,F,1.093020658,1.052104208
HL0013,Hook and Line,Central California,20150916,MOR,Morro Bay,Rita G,12,NA,NA,35.27853,-120.90977,108,58,BR,M,0.937922834,1.420765027
HL0014,Hook and Line,Central California,20150916,MOR,Morro Bay,Rita G,12,NA,NA,35.28152,-120.90469,92,57,BR,M,1.106953287,2.136585366
HL0015,Hook and Line,Central California,20150916,MOR,Morro Bay,Rita G,12,NA,NA,35.2675,-120.89508,46,57,BR,M,0.982758528,2.478021978
HL0016,Hook and Line,Central California,20150916,MOR,Morro Bay,Rita G,12,NA,NA,35.26711,-120.91664,107,78,BL,F,0.958799036,1.081318681
HL0017,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,4,20,37.73545,-123.11048,285,47.5,BR,F,0.895757399,1.9375
HL0018,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,63.1,BL,F,0.9950661,1.476
HL0019,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,4,20,37.73545,-123.11048,285,52.2,BR,M,0.935061406,5.278195489
HL0020,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,52.8,BR,M,0.883164461,1.053846154
HL0021,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,56.5,BR,M,0.914826214,1.375757576
HL0022,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,60.7,BR,M,0.858489832,0.911458333
HL0023,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,60,BR,M,0.87037037,1.393617021
HL0024,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,2,10,37.71561,-123.0702,220,55.6,BR,M,1.023972499,1.034090909
HL0025,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,2,10,37.71688,-123.07264,220,64,BR,M,0.907897949,0.991596639
HL0026,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,70.6,BR,F,0.889467808,1.750798722
HL0027,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,2,10,37.71561,-123.0702,220,68,BR,F,0.865051903,1.915441176
HL0028,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,2,10,37.71688,-123.07264,220,61.5,BL,F,0.971590124,1.181415929
HL0029,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,1,40,37.67666,-123.02277,195,61,BR,F,0.854697089,1.371134021
HL0030,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,2,10,37.71561,-123.0702,220,56.4,BR,M,1.081345352,1.128865979
HL0031,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,2,10,37.71688,-123.07264,220,62,BR,M,0.902118089,1.088372093
HL0032,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,3,26,37.71412,-123.07109,220,56.6,BL,F,0.948591335,1.302325581
HL0033,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,1,40,37.67666,-123.02277,195,53.6,BR,M,0.876676569,1.118518519
HL0034,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,1,40,37.67666,-123.02277,195,45.5,BL,M,0.849289583,1.6
HL0035,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,1,40,37.67666,-123.02277,195,62.9,BL,F,0.839835735,1.674641148
HL0036,Hook and Line,Central California,20160126,HMB,Middle Farallons,Tigerfish,14,1,40,37.67666,-123.02277,195,53.5,BR,F,0.914253622,1.5
