sample_ID,date_of_collection,sex,TL_cm,fultons_K,HSI,color,sampling_region,sampling_location,lat,long,depth_ft,date_of_dissection,dissector_initials,CHONAR,LEPPRA,LEPBRE,CHALIM,LIRVUL,GNASPP,UDOADU,DERVAR,RHIELO,PROAPE,LECGIB,BUCEP1,BUCEP2,PODTHE,METACE,TRYSPP,CUCELO,THYADU,NEMLAR,HYSMAG,NEMWHI,CORWEG,CORCET,ACANT1,ACANT2
HL1362,9/23/16,M,50.4,0.812112948,1.163797249,BR,Northern California,False Cape (South),40.48668,-124.52352,174,2/2/17,KL,0,0,10,0,0,0,0,4,9,0,2,0,0,0,0,0,4,0,7,0,0,0,0,0,0
HL1353,9/23/16,M,67.4,1.172799093,3.054944443,BR,Northern California,False Cape (South),40.48757,-124.52451,180,2/14/17,KL,0,0,6,2,0,0,0,0,3,0,0,0,0,0,1206,3,2,0,2,0,0,4,1,0,0
HL1365,9/23/16,M,68.8,1.024747624,2.406208798,BR,Northern California,False Cape (South),40.46789,-124.45842,120,2/15/17,KL,0,4,26,40,0,0,0,0,16,0,2,0,0,0,594,1,4,11,0,0,0,2,0,0,0
HL1364,9/23/16,M,67.7,1.09710719,2.449914811,BR,Northern California,False Cape (South),40.44004,-124.45297,66,2/17/17,KL,0,10,6,40,0,0,0,0,2,0,3,0,0,0,260,4,0,0,0,0,0,11,0,0,0
HL1352,9/23/16,M,67.2,1.035541402,2.746221161,BR,Northern California,False Cape (South),40.43584,-124.47379,108,3/20/17,KL,0,0,42,34,0,1,0,5,1,0,2,0,0,0,108,6,66,0,1,0,0,4,0,0,0
HL1367,9/23/16,M,67,0.920990946,1.707581227,BR,Northern California,False Cape (South),40.43653,-124.47493,108,3/21/17,KL,0,2,54,6,0,0,0,8,54,0,15,0,0,0,46,3,19,0,1,0,0,11,0,0,0
HL1355,9/23/16,M,66.7,0.936102644,2.671178631,BR,Northern California,False Cape (South),40.48611,-124.52228,120,3/22/17,KL,1,1,15,0,0,0,0,0,9,0,2,0,0,0,184,5,39,0,0,0,0,5,0,0,0
HL1360,9/23/16,M,67.5,1.001635929,2.051614998,BR,Northern California,False Cape (South),40.48742,-124.52425,180,3/27/17,KL,0,4,53,64,0,0,0,0,44,0,2,0,0,0,199,18,49,0,3,0,0,32,0,0,1
HL1351,9/23/16,M,66.4,0.948233346,0.994236311,BR,Northern California,False Cape (South),40.46789,-124.45842,120,3/28/17,KL,0,16,8,6,0,0,0,0,114,0,1,0,0,0,481,3,9,0,1,0,0,168,0,0,0
HL1357,9/23/16,F,69.5,0.941429145,2.110492343,BL,Northern California,False Cape (South),40.48643,-124.52311,150,3/29/17,KL,0,13,21,6,0,0,0,0,3,0,35,0,0,0,173,0,68,0,1,0,0,2,0,0,0
HL1359,9/23/16,M,46.9,0.994942804,1.315276695,BR,Northern California,False Cape (South),40.49831,-124.51076,108,3/30/17,KL,0,3,0,6,0,0,0,0,103,0,2,0,0,0,4,0,3,0,1,0,0,2,0,0,0
HL1358,9/23/16,F,51.3,2.093985708,0.424478245,BR,Northern California,False Cape (South),40.48735,-124.52415,174,4/2/17,KL,0,9,2,0,2,0,1,0,30,0,3,0,0,0,861,1,2,0,0,0,0,1,0,0,0
HL1356,9/23/16,M,52.1,0.932819192,1.88750758,BR,Northern California,False Cape (South),40.48595,-124.52155,108,4/3/17,KL,0,6,0,0,0,0,0,0,9,0,1,0,0,0,5,0,5,0,1,0,0,1,0,0,0
HL1347,9/23/16,F,71.6,0.995527466,1.436702972,BL,Northern California,False Cape (South),40.49393,-124.45999,114,4/4/17,KL,0,48,13,12,0,0,0,0,17,0,14,0,0,0,26,2,11,0,0,0,0,18,1,0,1
HL1363,9/23/16,M,71.7,1.174899267,3.491352437,BR,Northern California,False Cape (South),40.47578,-124.51292,132,4/5/17,KL,0,4,46,24,0,0,0,0,27,0,2,0,0,0,419,7,6,0,31,0,0,10,0,0,0
HL1361,9/23/16,M,54.3,0.830715191,0.932330827,BR,Northern California,False Cape (South),40.48643,-124.52311,150,4/6/17,KL,0,13,4,2,0,0,0,0,54,0,2,2,0,0,9,0,1,0,1,0,0,0,0,0,0
HL1343,9/23/16,M,68.9,0.94104621,1.403508772,BR,Northern California,False Cape (South),40.46789,-124.45842,120,4/11/17,KL,0,20,0,12,0,0,0,0,0,0,2,0,0,0,150,2,0,0,1,0,0,1,0,1,0
HL1764,1/27/17,F,70.5,1.040203395,2.960300694,BR,Southern California,SAN NICHOLAS ISLAND.CCA,33.32244,-119.47978,174,4/12/17,KL,0,5,19,14,0,2,0,0,1,0,1,0,0,0,661,0,23,0,0,4,0,4,0,0,0
HL1572,10/19/16,M,55.1,1.069736726,2.849958089,G/BR,Southern California,South La Jolla SMR,32.80681,-117.31026,108,4/13/17,KL,0,6,12,46,0,1,0,0,0,0,1,0,0,0,292,196,9,0,3,0,0,1,0,0,0
HL1569,10/19/16,M,55.1,1.051265161,2.052769248,BR,Southern California,South La Jolla SMR,32.80422,-117.30891,108,4/14/17,KL,0,9,22,42,0,5,0,0,0,0,0,0,0,0,267,9,12,0,31,0,0,11,0,0,0
HL1688,NA,M,50.2,1.067142993,1.17037037,BR,Southern California,South La Jolla SMR,32.80576,-117.3083,108,4/16/17,KL,0,10,10,2,0,0,0,0,0,0,0,0,0,0,24,48,7,0,0,0,0,0,3,0,0
HL1778,1/27/17,M,60.2,1.026185383,1.398070395,BR,Southern California,SAN NICHOLAS ISLAND.CCA,33.32244,-119.47978,174,4/17/17,KL,0,11,16,131,0,0,0,0,7,0,3,0,0,0,723,3,33,0,0,0,0,0,20,0,0
HL1782,1/27/17,M,63.1,1.05874635,1.72932981,BR,Southern California,SAN NICHOLAS ISLAND.CCA,33.31929,-119.47725,156,4/17/17,KL,0,58,27,76,0,0,0,0,3,0,7,0,0,0,161,8,21,0,0,0,0,0,13,0,0
HL1566,10/19/16,M,49.4,1.078439811,2.815168064,BR,Southern California,South La Jolla SMR,32.80579,-117.3097,108,4/18/17,KL,0,8,4,89,0,21,0,0,1,0,2,0,0,0,77,139,13,0,4,0,0,0,41,0,0
HL1570,10/19/16,M,40.2,0.875704889,0.914044648,BL,Southern California,South La Jolla SMR,32.80785,-117.30973,108,4/20/17,KL,0,4,32,14,4,17,0,0,21,0,0,0,0,0,18,358,15,0,0,0,0,0,24,0,0
HL1692,NA,M,49.1,0.946179526,1.589285714,BR,Southern California,South La Jolla SMR,32.80848,-117.31064,108,4/21/17,KL,0,19,27,2,0,1,0,0,30,0,0,0,0,0,12,197,4,0,68,0,0,0,41,0,0
HL1350,9/23/16,M,68.7,0.90836277,2.739958578,BR,Northern California,False Cape (South),40.43653,-124.47493,102,4/25/17,KL,0,28,102,42,0,0,0,0,3,0,4,0,0,0,53,3,17,0,4,0,0,6,3,0,0
HL1821,4/9/17,M,45,0.928395062,0.815602837,BR,Puget Sound,NORTH BEACH,48.15173,-122.77238,45,5/8/17,KL,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
HL1817,4/9/17,M,71,1.095244348,0.795918367,BR,Puget Sound,NORTH BEACH,48.15168,-122.77215,45,5/9/17,KL,0,32,35,11,0,0,25,0,22,14,8,0,0,0,266,0,0,0,1,0,0,44,0,0,0
HL1826,4/9/17,M,46,0.801347908,0.538461538,BR,Puget Sound,NORTH BEACH,48.14939,-122.71348,45,5/10/17,KL,0,3,0,4,0,0,0,0,2,0,0,0,0,0,34,0,0,0,2,0,0,3,0,0,0
HL1825,4/9/17,M,43,0.628875445,0.7,BR,Puget Sound,NORTH BEACH,48.14974,-122.77287,35,5/11/17,KL,0,24,3,0,0,0,0,0,11,1,7,0,0,0,4,0,0,0,2,0,0,4,0,0,0
HL1827,4/9/17,M,40.8,89.81509751,0.006229508,BR,Puget Sound,NORTH BEACH,48.15173,-122.77238,45,5/11/17,KL,0,7,12,2,0,0,0,0,32,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0
HL1802,4/20/17,F,53,0.873204054,0.907692308,BR,Puget Sound,S.Lopez,48.42004,-122.85093,35,5/12/17,KL,0,8,10,18,0,0,0,0,7,13,3,0,0,0,2,0,0,0,2,0,0,4,0,0,0
HL1785,1/24/17,M,68.8,1.258979162,1.407317073,BR,Southern California,OSBORNE BANK SB Island.CCA,33.36501,-119.05769,204,9/9/17,KL,0,2,17,10,0,0,0,0,7,0,8,0,0,0,1990,0,15,0,0,0,0,3,0,0,0
HL1346,9/23/16,M,67,1.091789881,1.991655754,BR,Northern California,False Cape (South),40.43653,-124.47493,102,9/19/17,KL,0,36,7,2,0,0,0,0,4,0,11,0,0,0,79,5,6,0,0,0,0,23,0,0,0
HL1349,9/23/16,F,73.9,1.011116862,1.073345259,BL,Northern California,False Cape (South),40.45198,-124.45501,72,9/28/17,KL,0,89,0,6,0,24,0,0,11,0,30,5,0,0,122,2,9,0,1,0,0,71,0,0,0
HL1348,9/23/16,F,71,1.020449218,1.626372423,BL,Northern California,False Cape (South),40.43608,-124.46579,102,10/2/17,KL,0,21,67,18,0,0,0,0,38,0,15,0,0,0,84,2,51,0,0,0,0,18,0,0,0
HL1791,4/24/17,F,81,1.144040449,1.129952795,BL,Puget Sound,4milerock,47.6399416,-122.4272075,82,10/3/17,KL,0,2,7,3,0,0,0,0,0,0,4,0,0,0,92,0,0,0,4,0,0,177,0,0,8
HL1789,4/27/17,F,76,0.971009805,1.182404692,BL,Puget Sound,Keystone,48.13658562,-122.6766136,180,10/5/17,KL,0,1,25,2,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,25,0,0,0
HL1794,4/24/17,F,81,0.997286623,1.14528518,BR,Puget Sound,South Blake,47.52919989,-122.4930309,62,1/1/18,EAF,0,6,43,6,0,0,0,0,3,0,51,0,0,0,32,0,2,0,2,0,0,43,0,0,0
HL1801,4/28/17,M,70,0.950612245,0.560939704,BR,Puget Sound,Keystone,48.137867,-122.678017,151,NA,EAF,0,6,0,0,0,0,0,0,136,0,2,0,2,0,681,0,1,0,4,0,0,28,0,0,0
HL1972,5/20/17,M,65,0.904506145,0.994363929,BR,Alaska,Sitka,57.29733,-135.94255,160,NA,KL,1,15,18,212,0,0,0,0,54,4,4,0,0,0,32,0,0,4,9,0,0,0,0,0,0
HL1898,5/15/17,M,60,0.958611111,0.927267459,BL,Alaska,WOLF ROCKS,55.02483,-133.48627,121,NA,KL,0,9,5,10,0,0,0,0,0,7,17,0,0,0,34,0,0,0,3,0,0,0,22,0,0
